year,game,prizepool,tournaments,players
2019,Age of Empires Online,$154.00,2,4
2019,Nitroplus Blasterz: Heroines Infinite Duel,$150.00,1,3
2019,Hokuto no Ken,$145.00,1,3
2019,Mortal Kombat XL,$140.00,1,2
2019,Arcana Heart 3: Love Max Six Stars!!!!!,$110.00,1,3
2019,Umineko: Golden Fantasia,$90.00,1,3
2019,Aquapazza: Aquaplus Dream Match,$85.00,1,3
2019,Virtua Fighter 5,$80.00,1,1
2019,Shovel Knight Showdown,$60.00,1,3
2019,Mario Tennis Aces,$51.30,1,3
2019,Street Fighter Alpha 3,$40.00,1,1
2019,Hand of the Gods,$34.20,1,1
2019,Guilty Gear,$32.00,1,3
2019,Xonotic,$22.82,2,15
2019,Yu-Gi-Oh! Duel Links,$20.00,1,1
2020,Counter-Strike: Global Offensive,"$15,954,985.72",596,3045
2020,Arena of Valor,"$10,080,778.32",17,351
2020,Dota 2,"$9,537,729.21",162,1042
2020,Fortnite,"$9,009,166.74",130,1704
2020,League of Legends,"$8,635,363.76",114,1810
2020,Call of Duty: Modern Warfare,"$7,152,172.00",71,334
2020,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,"$7,040,367.15",20,667
2020,Overwatch,"$6,590,561.00",32,581
2020,PLAYERUNKNOWN’S BATTLEGROUNDS,"$6,456,027.32",91,1105
2020,Rainbow Six Siege,"$5,890,432.30",67,841
2020,Hearthstone,"$4,277,232.82",49,468
2020,Rocket League,"$3,985,954.07",384,929
2020,Call of Duty: Warzone,"$2,826,407.12",106,611
2020,VALORANT,"$2,417,593.40",345,2313
2020,Apex Legends,"$2,224,649.05",208,660
2020,StarCraft II,"$2,173,192.96",424,327
2020,FIFA 20,"$2,130,308.14",43,273
2020,Magic: The Gathering Arena,"$2,076,000.00",10,81
2020,CrossFire,"$2,075,733.89",8,134
2020,Gears 5,"$1,223,000.00",16,143
2020,Clash of Clans,"$1,212,811.00",15,136
2020,chess24,"$1,184,696.09",10,61
2020,Lichess,"$1,140,686.93",64,287
2020,Brawl Stars,"$1,056,250.00",2,35
2020,Free Fire,"$874,479.11",10,278
2020,Chess.com,"$790,281.92",91,441
2020,F1 2020,"$751,947.00",2,39
2020,iRacing.com,"$684,078.65",37,453
2020,Brawlhalla,"$595,811.60",110,293
2020,WarCraft III: Reforged,"$565,677.04",115,90
2020,World of WarCraft,"$500,000.00",4,57
2020,FIFA Online 4,"$404,120.00",5,56
2020,Paladins,"$393,630.97",18,164
2020,Age of Empires II,"$382,802.20",223,418
2020,Teamfight Tactics,"$370,029.00",4,39
2020,Super Smash Bros. Ultimate,"$310,108.36",282,600
2020,Quake Champions,"$302,899.03",9,40
2020,Hyper Scape,"$299,000.00",4,260
2020,Minecraft,"$294,700.00",4,60
2020,Mobile Legends: Bang Bang,"$288,500.00",1,46
2020,Fall Guys,"$284,273.83",5,240
2020,Call of Duty: Black Ops Cold War,"$253,000.00",13,107
2020,StarCraft: Remastered,"$250,145.94",65,106
2020,Aim Gods,"$250,000.00",1,2
2020,Assetto Corsa,"$235,634.41",31,120
2020,Clash Royale,"$224,600.00",5,51
2020,Hearthstone Battlegrounds,"$203,630.00",4,40
2020,NASCAR Heat 4,"$200,500.00",5,34
2020,Forza Motorsport 7,"$199,000.00",3,64
2020,Farming Simulator 19,"$189,253.45",6,66
2020,Gwent,"$186,720.00",5,22
2020,rFactor 2,"$184,440.95",27,106
2020,Mortal Kombat 11,"$182,259.57",7,77
2020,Street Fighter V: Champion Edition,"$173,410.22",48,52
2020,Super Smash Bros. Melee,"$157,502.23",26,112
2020,Tekken 7,"$156,917.56",43,88
2020,Legends of Runeterra,"$118,481.03",5,30
2020,Escape from Tarkov,"$114,600.00",4,150
2020,Granblue Fantasy: Versus,"$106,280.94",43,45
2020,Diabotical,"$103,859.92",78,239
2020,FIFA 21,"$100,000.00",2,16
2020,Rocket Arena,"$100,000.00",3,24
2020,Dragon Ball FighterZ,"$94,116.31",38,73
2020,RaceRoom Racing Experience,"$87,510.00",10,42
2020,WarCraft III,"$72,425.80",8,18
2020,Among Us,"$66,000.00",6,10
2020,Auto Chess,"$60,098.00",2,42
2020,Trackmania (2020),"$59,918.61",59,99
2020,Multigaming,"$59,109.70",1,8
2020,Halo: Reach,"$50,000.00",1,32
2020,Rogue Company,"$50,000.00",2,48
2020,Spellbreak,"$50,000.00",1,42
2020,TEPPEN,"$48,000.00",1,8
2020,Dead By Daylight,"$45,000.00",6,30
2020,TrackMania 2: Stadium,"$40,262.69",88,203
2020,F1 2019,"$38,047.38",1,3
2020,Zwift,"$33,827.08",2,6
2020,Playchess.com,"$32,866.58",9,116
2020,Identity V,"$31,911.10",1,6
2020,Call of Duty: Black Ops 4,"$30,000.00",2,14
2020,Soul Calibur VI,"$27,582.77",26,41
2020,Shadowverse,"$23,700.00",6,42
2020,Rivals of Aether,"$20,833.62",8,27
2020,Street Fighter V: Arcade Edition,"$20,286.12",3,19
2020,UNO,"$20,000.00",2,16
2020,BlazBlue: Cross Tag Battle,"$14,026.79",6,34
2020,osu!,"$13,982.67",9,313
2020,Samurai Shodown (2019),"$13,223.40",5,23
2020,Prophecy,"$13,000.00",4,27
2020,Age of Empires,"$12,066.00",2,53
2020,Call of Duty: Black Ops 2,"$12,000.00",1,4
2020,Team Fortress 2,"$11,403.92",7,166
2020,Tetris,"$10,926.38",4,23
2020,Age of Empires III,"$10,553.00",16,71
2020,Dirt Rally 2.0,"$10,000.00",2,5
2020,Internet Chess Club,"$10,000.00",1,6
2020,Old School Runescape,"$9,004.20",2,14
2020,Guilty Gear Xrd REV 2,"$7,134.00",6,19
2020,Heroes of the Storm,"$6,745.00",4,33
2020,Under Night In-Birth EXE: Late[st],"$6,036.89",4,21
2020,Assetto Corsa Competizione,"$5,338.00",13,10
2020,Ultimate Marvel vs. Capcom 3,"$4,786.90",5,13
2020,Age of Mythology,"$4,527.00",19,25
2020,QuakeWorld,"$4,168.00",1,6
2020,Fantasy Strike,"$3,860.00",3,18
2020,Melty Blood: Actress Again Current Code,"$3,784.93",10,34
2020,Unreal Tournament (2016),"$3,698.92",3,65
2020,Guilty Gear XX Accent Core Plus R,"$3,576.91",5,18
2020,Dota Underlords,"$3,388.50",7,12
2020,Xonotic,"$3,340.39",13,58
2020,Gran Turismo Sport,"$3,331.00",3,59
2020,BlazBlue: Central Fiction,"$3,296.84",6,11
2020,Tetr.io,"$2,992.61",11,19
2020,Pokkén Tournament DX,"$2,936.43",4,9
2020,Lethal League Blaze,"$2,910.02",4,16
2020,Call of Duty: Modern Warfare 2,"$2,500.00",1,4
2020,Nascar Heat 5,"$2,500.00",1,10
2020,Doom II: Hell on Earth,"$2,480.00",3,7
2020,Live for Speed,"$2,380.00",1,6
2020,Skullgirls 2nd Encore,"$1,984.50",3,14
2020,Mystery Game Tournament,"$1,920.00",1,8
2020,Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,"$1,819.61",4,17
2020,Puyo Puyo Tetris,"$1,805.09",9,12
2020,Vampire Savior,"$1,667.21",4,9
2020,Super Smash Bros.,"$1,547.18",6,23
2020,Eternal Fighter Zero,"$1,311.60",2,7
2020,Mario Kart 8 Deluxe,"$1,305.00",2,24
2020,King of Fighters XIV,"$1,270.00",3,8
2020,Splatoon 2,"$1,270.00",1,13
2020,Age of Empires Online,"$1,246.56",3,9
2020,Artifact Classic,"$1,229.85",20,29
2020,Under Night In-Birth Exe:Late[cl-r],"$1,108.00",3,10
2020,Synth Riders,"$1,100.00",5,7
2020,Windjammers,"$1,040.00",3,13
2020,Street Fighter III: 3rd Strike,$980.00,2,11
2020,Tatsunoko vs. Capcom: Ultimate All-Stars,$914.66,7,5
2020,Rushdown Revolt,$850.00,4,9
2020,Star Wars: Squadrons,$800.00,1,4
2020,ARMS,$789.17,4,17
2020,Artifact Foundry,$774.50,8,21
2020,Super Smash Bros. Brawl,$770.00,3,11
2020,Power Rangers: Battle for the Grid,$640.00,3,8
2020,Super Street Fighter II Turbo,$590.00,2,6
2020,Fight of Animals,$580.68,3,7
2020,Marvel vs. Capcom: Infinite,$544.60,2,4
2020,NBA 2K21,$501.00,1,3
2020,SLAYERS FOR HIRE,$500.00,1,8
2020,Super Smash Bros. for Wii U,$490.00,1,3
2020,King of Fighters XIII,$480.00,1,3
2020,Beat Aim,$430.00,6,12
2020,Puyo Puyo Champions,$410.50,2,5
2020,Dead or Alive 6,$410.00,2,6
2020,Them's Fightin' Herds,$390.00,3,8
2020,King of Fighters 2002 Unlimited Match,$380.00,1,3
2020,Garou: Mark of the Wolves,$325.00,2,6
2020,Sailor Moon S,$320.00,2,6
2020,Dengeki Bunko: Fighting Climax Ignition,$305.50,3,9
2020,Punch Planet,$300.00,1,3
2020,Slap City,$300.00,1,3
2020,Smash Remix,$299.06,1,4
2020,JoJo's Bizarre Adventure: Heritage for the Future,$284.99,2,5
2020,Audio Trip,$250.00,1,1
2020,Duck Game,$250.00,1,3
2020,Capcom vs. SNK 2,$240.00,1,3
2020,Samurai Shodown V Special,$230.46,2,5
2020,Jstris,$225.00,1,8
2020,Kirby Fighters 2,$222.86,1,4
2020,Kill la Kill the Game: IF,$220.00,2,6
2020,Maiden & Spell,$200.00,1,3
2020,Naruto: Gekitou Ninja Taisen! 4,$200.00,1,3
2020,ShootMania Storm,$193.05,2,15
2020,Cultris II,$190.95,1,3
2020,Warparty,$175.00,1,4
2020,Def Jam: Fight for NY,$170.00,1,3
2020,Magical Drop III,$130.00,1,3
2020,Trackmania Turbo,$112.50,1,3
2020,Pokémon VGC,$102.00,1,3
2020,Acceleration of SUGURI 2,$100.00,1,3
2020,Schwarzerblitz,$100.00,1,3
2020,Twinkle Star Sprites,$100.00,1,3
2020,Catherine,$75.00,1,3
2020,Digimon Rumble Arena,$70.00,1,3
2020,Pocket Rumble,$60.00,1,3
2020,TrackMania Nations Forever,$56.30,1,3
2020,Arcana Heart 3: Love Max Six Stars!!!!!,$50.00,1,3
2020,HYPERFIGHT,$50.00,1,3
2020,Killer Instinct (2013),$50.00,1,3
2020,Koihime Enbu,$50.00,1,3
2020,Power Instinct: Matrimelee,$50.00,1,3
2020,Roof Rage,$50.00,1,3
2020,Shrek SuperSlam,$50.00,1,3
2020,Speedrunners,$50.00,1,3
2020,Umineko: Golden Fantasia,$50.00,1,3
2020,Panel Attack,$40.00,1,3
2020,Ultra Street Fighter IV,$40.00,2,6
2020,Samurai Shodown III,$30.00,1,3
2020,Akatsuki Blitzkampf,$20.00,1,3
2020,Project Plus,$20.00,1,3
2020,The Last Blade 2,$20.00,1,3
2020,Breakers Revenge,$16.00,1,3
2020,Asuka 120% LimitOver BURNING Fest.,$10.00,1,3
2020,Fighting EX Layer,$10.00,1,3
2020,Mario Tennis Aces,$10.00,1,3
2020,Marvel vs. Capcom 2,$10.00,1,3
2020,Million Arthur: Arcana Blood,$10.00,1,3
2021,Dota 2,"$47,780,465.28",89,944
2021,Counter-Strike: Global Offensive,"$21,171,751.49",494,3189
2021,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,"$17,786,868.30",27,831
2021,Arena of Valor,"$17,365,745.60",18,428
2021,PLAYERUNKNOWN’S BATTLEGROUNDS,"$16,031,339.09",44,532
2021,Fortnite,"$11,720,033.30",43,739
2021,League of Legends,"$8,112,480.58",98,1403
2021,VALORANT,"$6,532,476.53",299,2102
2021,Rainbow Six Siege,"$6,219,503.04",42,602
2021,Call of Duty: Warzone,"$6,156,202.01",189,787
2021,Call of Duty: Black Ops Cold War,"$5,782,000.00",48,190
2021,Overwatch,"$5,613,680.00",25,398
2021,Rocket League,"$4,988,771.50",371,970
2021,Apex Legends,"$4,351,007.00",126,700
2021,Call of Duty: Mobile,"$3,057,280.00",6,185
2021,Hearthstone,"$2,939,891.92",57,443
2021,Free Fire,"$2,933,146.00",9,281
2021,Shadowverse,"$2,293,296.20",1,8
2021,FIFA 21,"$2,145,134.53",24,227
2021,Magic: The Gathering Arena,"$2,000,000.00",4,38
2021,CrossFire,"$1,938,654.50",3,103
2021,Mobile Legends: Bang Bang,"$1,909,400.00",6,185
2021,StarCraft II,"$1,747,152.05",262,226
2021,League of Legends: Wild Rift,"$1,567,092.59",12,301
2021,chess24,"$1,520,929.34",9,44
2021,Brawl Stars,"$1,213,000.00",19,179
2021,World of WarCraft,"$930,000.00",18,73
2021,iRacing.com,"$905,074.00",44,466
2021,Chess.com,"$867,875.39",98,309
2021,Teamfight Tactics,"$781,554.00",3,53
2021,F1 2021,"$750,000.00",1,22
2021,Brawlhalla,"$684,407.00",84,323
2021,Age of Empires II,"$640,069.14",369,685
2021,Call of Duty: Vanguard,"$626,500.00",16,128
2021,SMITE,"$610,000.00",2,50
2021,FIFA Online 4,"$600,000.00",4,76
2021,Super Smash Bros. Ultimate,"$545,343.67",249,584
2021,WarCraft III: Reforged,"$513,333.76",80,68
2021,Street Fighter V: Champion Edition,"$495,019.15",57,154
2021,Assetto Corsa,"$273,888.54",46,136
2021,Assetto Corsa Competizione,"$262,943.00",20,241
2021,Super Smash Bros. Melee,"$258,784.14",13,117
2021,Quake Champions,"$251,607.45",8,60
2021,Gwent,"$250,000.00",1,8
2021,StarCraft: Remastered,"$234,832.20",18,82
2021,rFactor 2,"$233,012.82",25,149
2021,Legends of Runeterra,"$201,700.00",2,18
2021,Halo 3,"$150,000.00",1,32
2021,Farming Simulator 19,"$143,671.33",8,65
2021,Halo 2,"$137,400.00",3,16
2021,Tekken 7,"$135,421.54",11,55
2021,Trackmania (2020),"$114,314.99",171,238
2021,Halo Infinite,"$101,000.00",10,50
2021,Multigaming,"$96,473.00",2,18
2021,Guilty Gear -STRIVE-,"$89,280.62",34,120
2021,Diabotical,"$88,873.77",136,224
2021,Heroes of the Storm,"$86,524.00",2,59
2021,Clash of Clans,"$85,940.00",4,20
2021,Age of Empires IV,"$84,389.25",61,198
2021,RaceRoom Racing Experience,"$62,997.50",3,30
2021,Mortal Kombat 11,"$54,912.63",6,28
2021,Granblue Fantasy: Versus,"$54,362.38",29,36
2021,Soul Calibur VI,"$51,503.10",4,15
2021,Fall Guys,"$50,000.00",1,36
2021,Stardew Valley,"$43,600.00",1,16
2021,osu!,"$43,223.90",25,180
2021,Lichess,"$39,750.00",37,66
2021,Halo 5: Guardians,"$34,000.00",2,32
2021,FIFA 22,"$30,339.76",2,32
2021,Among Us,"$20,000.00",2,7
2021,Dirt Rally 2.0,"$20,000.00",2,6
2021,Age of Empires III,"$19,419.80",28,55
2021,Golf With Your Friends,"$19,400.00",2,11
2021,Tetris,"$16,089.61",19,40
2021,The Binding of Isaac,"$15,000.00",1,16
2021,World of Tanks,"$15,000.00",1,4
2021,Old School Runescape,"$13,000.00",2,14
2021,Dragon Ball FighterZ,"$11,548.32",31,48
2021,UNO,"$10,000.00",1,12
2021,Xonotic,"$8,915.36",17,33
2021,Quake III Arena,"$8,742.45",7,36
2021,Auto Chess,"$8,400.00",30,14
2021,Age of Mythology,"$8,205.00",37,43
2021,Guilty Gear XX Accent Core Plus R,"$5,985.23",5,14
2021,Paladins,"$5,500.00",2,19
2021,Skullgirls 2nd Encore,"$5,057.52",4,12
2021,Mortal Kombat XL,"$5,000.00",1,8
2021,Rezzil Player,"$5,000.00",1,5
2021,Them's Fightin' Herds,"$3,998.19",25,18
2021,Nascar Heat 5,"$3,625.00",1,10
2021,Rushdown Revolt,"$3,310.09",14,26
2021,Mythgard,"$3,000.00",3,9
2021,Ultimate Marvel vs. Capcom 3,"$2,841.36",4,15
2021,Power Rangers: Battle for the Grid,"$2,750.60",3,13
2021,Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,"$2,681.91",2,9
2021,Gran Turismo Sport,"$2,511.56",15,44
2021,Rocket League Sideswipe,"$2,500.00",1,1
2021,Blaston,"$2,428.12",6,12
2021,Tetr.io,"$2,295.27",2,11
2021,Melty Blood: Type Lumina,"$2,004.59",1,8
2021,Fantasy Strike,"$1,939.80",2,9
2021,Tetris Effect: Connected,"$1,934.91",3,12
2021,Mario Kart 8 Deluxe,"$1,700.00",2,20
2021,Age of Empires Online,"$1,605.00",5,11
2021,Microsoft Excel,"$1,400.00",4,8
2021,Super Smash Bros. for Wii U,"$1,190.00",1,8
2021,Quake Live,"$1,185.08",2,8
2021,Under Night In-Birth Exe:Late[cl-r],"$1,123.13",2,15
2021,Street Fighter Alpha 2,"$1,114.69",1,8
2021,Synth Riders,"$1,000.00",2,8
2021,Virtua Fighter 5: Ultimate Showdown,"$1,000.00",1,8
2021,Age of Empires,$994.20,3,18
2021,Puyo Puyo Tetris 2,$896.02,2,10
2021,ARMS,$816.50,2,11
2021,BlazBlue: Central Fiction,$807.65,2,7
2021,Crab Game,$750.00,9,15
2021,Super Smash Bros.,$750.00,3,13
2021,Street Fighter III: 3rd Strike,$717.22,3,8
2021,Lemnis Gate,$572.86,4,5
2021,Super Smash Bros. Brawl,$570.00,1,8
2021,DOOMBRINGER,$567.77,4,8
2021,Tatsunoko vs. Capcom: Ultimate All-Stars,$526.29,1,3
2021,Killer Instinct (2013),$520.00,3,8
2021,Duck Game,$500.00,1,3
2021,Windjammers,$449.31,2,4
2021,Doom II: Hell on Earth,$428.56,2,4
2021,Artifact Foundry,$400.00,4,2
2021,Audio Trip,$400.00,1,3
2021,Rivals of Aether,$400.00,3,7
2021,Quake 4,$360.76,2,3
2021,Dead or Alive 6,$310.00,2,6
2021,Lethal League Blaze,$300.00,1,3
2021,Slap City,$300.00,1,3
2021,QuakeWorld,$299.97,2,4
2021,Reflex,$299.97,2,3
2021,F1 2020,$288.00,1,3
2021,Super Street Fighter II Turbo,$250.00,1,3
2021,Quake II,$246.48,2,3
2021,Guilty Gear Xrd REV 2,$218.36,2,5
2021,Artifact Classic,$210.00,3,4
2021,Pokkén Tournament,$200.00,1,3
2021,Project Plus,$175.00,1,3
2021,Digimon Rumble Arena,$130.00,1,3
2021,Maiden & Spell,$125.00,1,3
2021,Pocket Rumble,$125.00,1,4
2021,Acceleration of SUGURI 2,$100.00,1,3
2021,Chex Quest,$100.00,1,2
2021,Koihime Enbu,$100.00,1,3
2021,Mighty Fight Federation,$100.00,1,3
2021,Mobile Suit Gundam: Extreme Vs Maxi Boost ON,$100.00,1,6
2021,Panel Attack,$100.00,1,3
2021,Punch Planet,$100.00,1,3
2021,Red Earth,$100.00,1,3
2021,Schwarzerblitz,$100.00,1,3
2021,SLAYERS FOR HIRE,$100.00,1,3
2021,Speedrunners,$100.00,1,3
2021,Toribash,$100.00,1,3
2021,Tough Love Arena,$100.00,1,3
2021,HYPERFIGHT,$90.00,1,3
2021,Fight of Animals,$50.00,1,3
2021,Jstris,$50.00,1,8
2021,Twinkle Star Sprites,$50.00,1,3
2021,Umineko: Golden Fantasia,$50.00,1,3
2021,JoJo's Bizarre Adventure: Heritage for the Future,$40.00,1,3
2021,Power Instinct: Matrimelee,$40.00,1,3
2021,Samurai Shodown III,$40.00,1,3
2021,The Last Blade 2,$40.00,1,3
2021,Shrek SuperSlam,$30.00,1,3
2021,Def Jam: Fight for NY,$20.00,1,3
2022,Dota 2,"$6,152,057.44",53,740
2022,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,"$5,993,005.35",15,465
2022,Counter-Strike: Global Offensive,"$4,521,463.36",136,1581
2022,Fortnite,"$3,040,500.00",8,135
2022,Rainbow Six Siege,"$3,000,000.00",1,100
2022,League of Legends,"$2,016,564.84",16,303
2022,PLAYERUNKNOWN’S BATTLEGROUNDS,"$1,598,695.50",16,325
2022,Arena of Valor,"$1,589,807.12",8,182
2022,Hearthstone,"$1,004,416.46",17,402
2022,StarCraft II,"$890,437.55",76,103
2022,Rocket League,"$706,693.46",22,350
2022,Call of Duty: Vanguard,"$500,000.00",1,32
2022,Magic: The Gathering Arena,"$450,000.00",1,14
2022,Call of Duty: Warzone,"$434,222.80",26,107
2022,League of Legends: Wild Rift,"$355,495.00",2,60
2022,Chess.com,"$304,200.00",31,92
2022,Mobile Legends: Bang Bang,"$288,500.00",1,30
2022,chess24,"$280,000.00",2,25
2022,FIFA Online 4,"$200,000.00",2,43
2022,rFactor 2,"$187,500.00",3,112
2022,Age of Empires IV,"$180,517.00",69,173
2022,Brawlhalla,"$159,460.00",23,138
2022,FIFA 22,"$154,150.00",2,16
2022,StarCraft: Remastered,"$127,444.70",8,64
2022,Age of Empires II,"$90,021.85",93,250
2022,VALORANT,"$71,892.20",5,67
2022,Street Fighter V: Champion Edition,"$69,442.56",1,12
2022,Super Smash Bros. Ultimate,"$67,823.90",27,136
2022,WarCraft III: Reforged,"$56,982.96",6,26
2022,Multigaming,"$55,909.13",1,12
2022,Lichess,"$53,615.85",4,14
2022,Hearthstone Battlegrounds,"$50,000.00",1,16
2022,Heroes of the Storm,"$45,641.00",1,48
2022,Crab Game,"$45,200.00",2,18
2022,Trackmania (2020),"$45,133.08",59,130
2022,iRacing.com,"$37,600.00",4,22
2022,Super Smash Bros. Melee,"$31,501.00",3,22
2022,Diabotical,"$28,535.78",58,110
2022,Dragon Ball FighterZ,"$15,476.59",1,8
2022,Minecraft,"$15,000.00",1,1
2022,F1 2021,"$11,739.00",2,9
2022,Guilty Gear -STRIVE-,"$9,830.79",2,15
2022,Tekken 7,"$7,000.00",2,11
2022,osu!,"$6,674.05",9,52
2022,Forza Horizon 5,"$5,000.00",1,7
2022,Rezzil Player,"$5,000.00",1,5
2022,Age of Mythology,"$3,149.00",8,12
2022,Auto Chess,"$3,000.00",12,6
2022,King of Fighters XV,"$2,871.52",1,8
2022,Granblue Fantasy: Versus,"$2,156.69",1,8
2022,CrossFire,"$2,090.50",1,20
2022,Power Rangers: Battle for the Grid,"$1,756.20",1,8
2022,Age of Empires III,"$1,630.00",6,17
2022,Blaston,"$1,500.00",3,10
2022,Loco Dojo Unleashed,"$1,000.00",1,4
2022,Age of Empires Online,$528.00,4,12
2022,TrackMania 2: Canyon,$327.38,1,4
2022,Artifact Classic,$20.00,1,1
